
Conexäes ativas

  Proto  Endere‡o local         Endere‡o externo       Estado
  TCP    127.0.0.1:53979        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53980        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53981        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53982        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53983        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53984        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53985        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53986        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53987        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53988        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53989        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53990        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53991        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53992        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53995        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53996        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53997        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53998        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54000        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54001        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54002        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54003        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54004        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54005        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54006        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54011        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54012        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54013        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54014        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54015        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54018        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:54019        127.0.0.1:49350        TIME_WAIT
